uniprot	gene	inchikey	smiles
P50993	ATP1A2	XZTUSOXSLKTKJQ-CESUGQOBSA-N	C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O
P50993	ATP1A2	MPYLDWFDPHRTEG-PAAYLBSLSA-N	C[C@]12CC[C@H]3[C@@H](CC(=O)[C@H]4C/C(=N/OCCN)CC[C@@]43C)[C@@H]1CCC2=O
