protein target,smiles count
Q9P0X4_CACNA1I,4
P09884_POLA1,4
P14550_AKR1A1,4
P60842_EIF4A1,4
Q08289_CACNB2,4
Q9NPH5_NOX4,4
O60885_BRD4,4
Q8TAA3_PSMA8,4
P21554_CNR1,4
P21452_TACR2,4
P21918_DRD5,4
Q7Z5P4_HSD17B13,4
Q9UK17_KCND3,4
P25786_PSMA1,4
Q9BPX1_HSD17B14,4
P25788_PSMA3,4
O75469_NR1I2,4
P32297_CHRNA3,4
P15056_BRAF,4
P28222_HTR1B,4
P10721_KIT,4
P16615_ATP2A2,4
Q8TCU5_GRIN3A,4
Q03164_KMT2A,4
P07900_HSP90AA1,4
O00206_TLR4,4
P23443_RPS6KB1,4
Q9H244_P2RY12,4
P14625_HSP90B1,4
P27338_MAOB,4
O43741_PRKAB2,4
P07510_CHRNG,4
O95622_ADCY5,4
P08253_MMP2,4
P28066_PSMA5,4
Q9NYK1_TLR7,4
O43187_IRAK2,4
P09619_PDGFRB,4
P07451_CA3,4
P49840_GSK3A,4
P49146_NPY2R,4
P37268_FDFT1,4
O00411_POLRMT,4
P25789_PSMA4,4
Q9Y2T6_GPR55,4
P16234_PDGFRA,4
P17707_AMD1,4
Q9NR97_TLR8,4
P25787_PSMA2,4
P09874_PARP1,4
P21917_DRD4,4
P11150_LIPC,4
Q12791_KCNMA1,4
P46098_HTR3A,4
P11511_CYP19A1,4
P11230_CHRNB1,4
P04629_NTRK1,4
P17787_CHRNB2,4
P51617_IRAK1,4
Q14542_SLC29A2,4
P0DP23_CALM1,4
O14843_FFAR3,4
P08235_NR3C2,4
Q15822_CHRNA2,4
Q9H2S1_KCNN2,4
P49720_PSMB3,4
P30536_TSPO,4
P14618_PKM,4
A5LHX3_PSMB11,4
Q08499_PDE4D,4
Q05469_LIPE,4
O14733_MAP2K7,4
Q96KQ7_EHMT2,4
P02708_CHRNA1,4
P30556_AGTR1,4
P22748_CA4,4
Q15349_RPS6KA2,4
P43088_PTGFR,4
P32418_SLC8A1,4
P23921_RRM1,4
P05112_IL4,4
Q8IZS8_CACNA2D3,4
P37088_SCNN1A,4
Q99714_HSD17B10,4
Q07001_CHRND,4
P56937_HSD17B7,4
Q13490_BIRC2,4
Q13304_GPR17,4
Q9Y5N1_HRH3,4
P54289_CACNA2D1,4
P51677_CCR3,4
Q00535_CDK5,4
P80404_ABAT,4
P00742_F10,4
Q14831_GRM7,4
P41595_HTR2B,4
O60911_CTSV,4
Q13370_PDE3B,4
