uniprot	gene	inchikey	smiles
O60725	ICMT	AGLCGCXQQDBYKJ-UHFFFAOYSA-N	COc1cccc(NCCC2(c3ccccc3)CC(C)(C)OC(C)(C)C2)c1
O60725	ICMT	QIXBOOVPFRZHQQ-UHFFFAOYSA-N	CCCCCCCCn1cc(CC(N)=O)c2cc(-c3cccc(C)c3)ccc21
