uniprot	gene	inchikey	smiles
O15438	ABCC3	MLKXDPUZXIRXEP-MFOYZWKCSA-N	CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1
O15438	ABCC3	SUBDBMMJDZJVOS-UHFFFAOYSA-N	COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1
